ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
2000-01-25 09:00:00,DCNN,2423,12,1,NCM,384,1011,2.8,-0.8,-3.6,-1.8,6,6,6,6,NA,NA,NA,NA,2000-01-25 09:03:00,11283.0
2000-01-25 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.9,1.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-25 20:58:00,10568.0
2000-01-26 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.2,1.4,-2.2,-1.5,6,6,6,6,NA,NA,NA,NA,2000-01-26 09:25:00,9821.0
2000-01-26 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.2,2.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-26 20:54:00,9132.0
2000-01-27 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.0,0.8,-1.4,-0.8,6,6,6,6,NA,NA,NA,NA,2000-01-27 09:21:00,8385.0
2000-01-27 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.3,1.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-27 20:56:00,7690.0
2000-01-28 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.3,1.4,-1.5,-0.8,6,6,6,6,NA,NA,NA,NA,2000-01-28 09:30:00,6936.0
2000-01-28 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.9,3.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-28 20:52:00,6254.0
2000-01-29 09:00:00,DCNN,2423,12,1,NCM,384,1011,11.4,7.0,5.9,5.4,6,6,6,6,NA,NA,NA,NA,2000-01-29 08:56:00,5530.0
2000-01-29 21:00:00,DCNN,2423,12,1,NCM,384,1011,12.5,8.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-29 21:00:00,4806.0
